51418,29476,0.24552495697074
2466,296,0.15128205128205124
51418,20445,0.13885245901639373
2466,229,0.12642487046632134
49457,58678,0.11275510204081632
2466,25615,0.11225490196078437
2466,2489,0.11039603960396037
51418,15251,0.09082733812949666
55839,2489,0.08695652173913039
55839,58678,0.08398692810457514
2466,38745,0.08109965635738836
49457,296,0.0769736842105263
49457,2489,0.07666666666666662
55839,38745,0.07016393442622955
48298,2489,0.06956521739130428
51418,244,0.06009036144578328
49457,53422,0.05793650793650791
2466,58678,0.05719424460431649
55839,296,0.05458015267175566
53596,2489,0.053124999999999964
